file,model,nb_tokens,nb_tokens_diff
./results/codegemma_7b/ActionTest_cluster.txt,codegemma_7b,128,45
./results/codegemma_7b/ActionTest_folder.txt,codegemma_7b,123,40
./results/codegemma_7b/AHFCoreLib_cluster.txt,codegemma_7b,191,-1
./results/codegemma_7b/AHFCoreLib_folder.txt,codegemma_7b,350,158
./results/codegemma_7b/AHFNorwayTopics_cluster.txt,codegemma_7b,193,-338
./results/codegemma_7b/AHFNorwayTopics_folder.txt,codegemma_7b,220,-311
./results/codegemma_7b/AHFProfileLib_cluster.txt,codegemma_7b,121,-246
./results/codegemma_7b/AHFProfileLib_folder.txt,codegemma_7b,192,-175
./results/codegemma_7b/AHFSequences_cluster.txt,codegemma_7b,118,-290
./results/codegemma_7b/AHFSequences_folder.txt,codegemma_7b,170,-238
./results/codegemma_7b/AliasImport_cluster.txt,codegemma_7b,33,7
./results/codegemma_7b/AliasImport_folder.txt,codegemma_7b,88,62
./results/codegemma_7b/AliasTest_cluster.txt,codegemma_7b,158,101
./results/codegemma_7b/AliasTest_folder.txt,codegemma_7b,178,121
./results/codegemma_7b/AllocationTest_cluster.txt,codegemma_7b,77,-11
./results/codegemma_7b/AllocationTest_folder.txt,codegemma_7b,153,65
./results/codegemma_7b/AnalysisAnnotation_cluster.txt,codegemma_7b,263,116
./results/codegemma_7b/AnalysisAnnotation_folder.txt,codegemma_7b,238,91
./results/codegemma_7b/AnalysisIndividualExample_cluster.txt,codegemma_7b,104,-194
./results/codegemma_7b/AnalysisIndividualExample_folder.txt,codegemma_7b,84,-214
./results/codegemma_7b/AnalysisTest_cluster.txt,codegemma_7b,83,3
./results/codegemma_7b/AnalysisTest_folder.txt,codegemma_7b,102,22
./results/codegemma_7b/AssignmentTest_cluster.txt,codegemma_7b,119,-6
./results/codegemma_7b/AssignmentTest_folder.txt,codegemma_7b,78,-47
./results/codegemma_7b/CalculationTest_cluster.txt,codegemma_7b,92,5
./results/codegemma_7b/CalculationTest_folder.txt,codegemma_7b,53,-34
./results/codegemma_7b/Camera_cluster.txt,codegemma_7b,23,-2
./results/codegemma_7b/Camera_folder.txt,codegemma_7b,24,-1
./results/codegemma_7b/CartSample_cluster.txt,codegemma_7b,152,-20
./results/codegemma_7b/CartSample_folder.txt,codegemma_7b,81,-91
./results/codegemma_7b/CarWithEnvelopingShape_cluster.txt,codegemma_7b,67,13
./results/codegemma_7b/CarWithEnvelopingShape_folder.txt,codegemma_7b,94,40
./results/codegemma_7b/CarWithShapeAndCSG_cluster.txt,codegemma_7b,208,-100
./results/codegemma_7b/CarWithShapeAndCSG_folder.txt,codegemma_7b,149,-159
./results/codegemma_7b/CauseAndEffectExample_cluster.txt,codegemma_7b,51,-118
./results/codegemma_7b/CauseAndEffectExample_folder.txt,codegemma_7b,51,-118
./results/codegemma_7b/CircularImport_cluster.txt,codegemma_7b,64,2
./results/codegemma_7b/CircularImport_folder.txt,codegemma_7b,58,-4
./results/codegemma_7b/Comments_cluster.txt,codegemma_7b,137,70
./results/codegemma_7b/Comments_folder.txt,codegemma_7b,125,58
./results/codegemma_7b/CommentTest_cluster.txt,codegemma_7b,149,18
./results/codegemma_7b/CommentTest_folder.txt,codegemma_7b,95,-36
./results/codegemma_7b/ConjugationTest_cluster.txt,codegemma_7b,95,4
./results/codegemma_7b/ConjugationTest_folder.txt,codegemma_7b,66,-25
./results/codegemma_7b/ConnectionTest_cluster.txt,codegemma_7b,70,-42
./results/codegemma_7b/ConnectionTest_folder.txt,codegemma_7b,161,49
